overhang=0 fmax=1 | h: len=20 eps=-1 dl=0 k=-6 lo=-6 a=[-1, 1, -1, 1, 1, -3] | h*: len=18 lo=-6 a=[-1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=2 fmax=1 | h: len=26 eps=-1 dl=0 k=-5 lo=-5 a=[-3, -5, 1, 1, 1] | h*: len=24 lo=-7 a=[4, 2, -1, -1, 1, 1, 1] | f: lo=-7 [1, 1]
overhang=2 fmax=1 | h: len=26 eps=-1 dl=0 k=-5 lo=-5 a=[-3, -5, -1, 1, 1] | h*: len=24 lo=-7 a=[4, 2, -1, -1, -1, 1, 1] | f: lo=-7 [1, 1]
overhang=0 fmax=1 | h: len=18 eps=-1 dl=0 k=-5 lo=-5 a=[-1, -1, -1, 1, -3] | h*: len=16 lo=-5 a=[-1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=18 eps=-1 dl=0 k=-5 lo=-5 a=[1, -1, 1, 1, -3] | h*: len=16 lo=-5 a=[-3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=1 fmax=1 | h: len=22 eps=-1 dl=0 k=-5 lo=-5 a=[1, -1, -1, 5, 1] | h*: len=20 lo=-6 a=[4, -1, -1, 1, 1, 1] | f: lo=-6 [1, 0, -1]
overhang=1 fmax=1 | h: len=22 eps=-1 dl=0 k=-5 lo=-5 a=[1, -5, 1, 1, 1] | h*: len=20 lo=-6 a=[4, -1, -1, 1, 1, 1] | f: lo=-6 [1]
overhang=3 fmax=1 | h: len=30 eps=-1 dl=0 k=-5 lo=-5 a=[3, -3, -5, 1, 1] | h*: len=28 lo=-8 a=[-4, -2, 2, 1, -1, -1, 1, 1] | f: lo=-8 [-1, -1, 1, 1]
overhang=3 fmax=1 | h: len=30 eps=-1 dl=0 k=-5 lo=-5 a=[3, -3, -5, -1, 1] | h*: len=28 lo=-8 a=[-4, -2, 2, 1, -1, -1, -1, 1] | f: lo=-8 [-1, -1, 1, 1]
overhang=0 fmax=1 | h: len=16 eps=-1 dl=0 k=-4 lo=-4 a=[-1, -1, 1, -3] | h*: len=14 lo=-4 a=[-1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=16 eps=-1 dl=0 k=-4 lo=-4 a=[1, -1, 1, -3] | h*: len=14 lo=-4 a=[1, 3, -1, 1] | f: lo=-3 [1]
overhang=2 fmax=1 | h: len=24 eps=-1 dl=0 k=-4 lo=-4 a=[-3, -5, 1, 1] | h*: len=22 lo=-6 a=[4, 2, -1, -1, 1, 1] | f: lo=-6 [1, 1]
overhang=1 fmax=1 | h: len=20 eps=-1 dl=0 k=-4 lo=-4 a=[1, -1, -1, 5] | h*: len=18 lo=-5 a=[4, -1, -1, 1, 1] | f: lo=-5 [1, 0, -1]
overhang=1 fmax=1 | h: len=20 eps=-1 dl=0 k=-4 lo=-4 a=[1, -5, 1, 1] | h*: len=18 lo=-5 a=[4, -1, -1, 1, 1] | f: lo=-5 [1]
overhang=2 fmax=1 | h: len=24 eps=-1 dl=0 k=-4 lo=-4 a=[-3, -5, -1, 1] | h*: len=22 lo=-6 a=[4, 2, -1, -1, -1, 1] | f: lo=-6 [1, 1]
overhang=4 fmax=2 | h: len=32 eps=-1 dl=0 k=-4 lo=-4 a=[-1, -9, 1, 1] | h*: len=30 lo=-8 a=[-4, -2, 2, 2, -1, -1, 1, 1] | f: lo=-8 [-1, -1, 1, 2]
overhang=4 fmax=2 | h: len=32 eps=-1 dl=0 k=-4 lo=-4 a=[-1, -5, -1, 5] | h*: len=30 lo=-8 a=[-4, -2, 2, 2, -1, -1, 1, 1] | f: lo=-8 [-1, -1, 1, 2, 0, -1]
overhang=3 fmax=1 | h: len=28 eps=-1 dl=0 k=-4 lo=-4 a=[3, -3, -5, 1] | h*: len=26 lo=-7 a=[-4, -2, 2, 1, -1, -1, 1] | f: lo=-7 [-1, -1, 1, 1]
overhang=3 fmax=1 | h: len=28 eps=-1 dl=0 k=-3 lo=-3 a=[5, 3, -3] | h*: len=26 lo=-3 a=[1, 1, -1, -2, 2, 4] | f: lo=-3 [-1, -1, 1, 1]
overhang=0 fmax=1 | h: len=14 eps=-1 dl=0 k=-3 lo=-3 a=[-1, 1, -3] | h*: len=12 lo=-3 a=[3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=14 eps=-1 dl=0 k=-3 lo=-3 a=[-3, 1, -1] | h*: len=12 lo=-3 a=[1, -1, 3] | f: lo=-3 [1]
overhang=1 fmax=1 | h: len=18 eps=-1 dl=0 k=-3 lo=-3 a=[-1, -3, -3] | h*: len=16 lo=-4 a=[4, 1, -1, 1] | f: lo=-4 [1, 1]
overhang=1 fmax=1 | h: len=18 eps=-1 dl=0 k=-3 lo=-3 a=[1, -1, -1, 4] | h*: len=16 lo=-4 a=[4, -1, -1, 1] | f: lo=-4 [1, 0, -1]
overhang=2 fmax=1 | h: len=22 eps=-1 dl=0 k=-3 lo=-3 a=[-3, -5, 1] | h*: len=20 lo=-5 a=[4, 2, -1, -1, 1] | f: lo=-5 [1, 1]
overhang=4 fmax=2 | h: len=30 eps=-1 dl=0 k=-3 lo=-3 a=[-1, -1, 1, 2, 2, -2, -4] | h*: len=28 lo=-7 a=[-4, -2, 2, 2, -1, -1, 1] | f: lo=-7 [-1, -1, 1, 2, 0, -2, -1, 1, 1]
overhang=4 fmax=2 | h: len=30 eps=-1 dl=0 k=-3 lo=-3 a=[-1, -5, -1, 4] | h*: len=28 lo=-7 a=[-4, -2, 2, 2, -1, -1, 1] | f: lo=-7 [-1, -1, 1, 2, 0, -1]
overhang=1 fmax=1 | h: len=16 eps=-1 dl=0 k=-2 lo=-2 a=[3, -3] | h*: len=14 lo=-3 a=[4, 1, 1] | f: lo=-3 [1]
overhang=1 fmax=1 | h: len=16 eps=-1 dl=0 k=-2 lo=-2 a=[-1, -1, -4] | h*: len=14 lo=-3 a=[4, 1, 1] | f: lo=-3 [1, 1]
overhang=2 fmax=1 | h: len=22 eps=-1 dl=0 k=-2 lo=-2 a=[-3, -5] | h*: len=20 lo=-4 a=[4, 2, -1, -1] | f: lo=-4 [1, 1]
