m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits,r25_hp,sinw_hp,tau_hp
74,3.651056768763808272e-5,0.250006845912,0.750011409594,3.7141032636,0.2579353052,0.9999999718,827,2.5793530519280385215466604269435552417413613e-1,9.9999997182953101910213364407819565947962840e-1,3.6510567687638079985584771804725513072456351e-5
75,3.554980351608893270e-5,0.250006665759,0.750011109353,3.7140991626,-0.2579353169,0.9999999726,832,-2.5793531687267219167504960466138220598638427e-1,9.9999997257079567828733430000138353796857058e-1,3.5549803516088930705131320212079429356043838e-5
76,3.462646966520838024e-5,0.250006492625,0.750010820809,3.7140952213,0.2579353281,0.9999999733,838,2.5793532809754888507230784598179787657078128e-1,9.9999997328318312911293018802058837024293963e-1,3.4626469665208377251252566991806154872572306e-5
77,3.373864676022422847e-5,0.250006326150,0.750010543363,3.7140914316,-0.2579353389,0.9999999740,843,-2.5793533889076255299814516856016073409919513e-1,9.9999997396817405081939927216981551580258245e-1,3.3738646760224230115677905290160812331020303e-5
78,3.288453689618086017e-5,0.250006165997,0.750010276452,3.7140877859,0.2579353493,0.9999999746,848,2.5793534927416564025389637441512711438882049e-1,9.9999997462715542391265095961979319908975009e-1,3.2884536896180863515045215925711076612244705e-5
79,3.206245452852705892e-5,0.250006011849,0.750010019549,3.7140842768,-0.2579353593,0.9999999753,854,-2.5793535926824510158762419259190899004181270e-1,9.9999997526142755626924591732684411298410406e-1,3.2062454528527060049930829369239624055760810e-5
80,3.127081815085713178e-5,0.250005863411,0.750009772161,3.7140808977,0.2579353689,0.9999999759,859,2.5793536889222352470627240503053427361862128e-1,9.9999997587221050217332370904869906689420615e-1,3.1270818150857133671799668938422510206747379e-5
81,3.050814268301849338e-5,0.250005720403,0.750009533824,3.7140776423,-0.2579353782,0.9999999765,864,-2.5793537816415162317162002104629067387133725e-1,9.9999997646064993349784071616478200635463695e-1,3.0508142683018493474213433331583828855172077e-5
82,2.977303250112407705e-5,0.250005582564,0.750009304100,3.7140745045,0.2579353871,0.9999999770,869,2.5793538710099293074983269929656379154572073e-1,9.9999997702782251582368251293455805938668813e-1,2.9773032501124076702958391715191184846433835e-5
83,2.906417504834237287e-5,0.250005449647,0.750009082581,3.7140714787,-0.2579353957,0.9999999776,875,-2.5793539571870143971670171603262991941631910e-1,9.9999997757474083663514137642918689792081611e-1,2.9064175048342373036075198166239183857957472e-5
