m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits
175,6.579246640950787955e-6,0.250001233615,0.750002056016,3.7139755045,-0.2579356691,0.9999999949,1365
176,6.504905440731395594e-6,0.250001219676,0.750002032784,3.7139751872,0.2579356700,0.9999999950,1370
177,6.431817169393688108e-6,0.250001205971,0.750002009944,3.7139748753,-0.2579356709,0.9999999950,1376
178,6.359953828878535690e-6,0.250001192497,0.750001987487,3.7139745685,0.2579356718,0.9999999951,1381
179,6.289288198839050336e-6,0.250001179247,0.750001965404,3.7139742669,-0.2579356726,0.9999999951,1386
180,6.219793810860514676e-6,0.250001166217,0.750001943687,3.7139739703,0.2579356735,0.9999999952,1392
181,6.151444923671833177e-6,0.250001153401,0.750001922328,3.7139736785,-0.2579356743,0.9999999953,1397
182,6.084216499305160502e-6,0.250001140796,0.750001901319,3.7139733916,0.2579356751,0.9999999953,1402
183,6.018084180162486148e-6,0.250001128396,0.750001880652,3.7139731093,-0.2579356759,0.9999999954,1408
184,5.953024266949946757e-6,0.250001116197,0.750001860321,3.7139728316,0.2579356767,0.9999999954,1413
185,5.889013697442561050e-6,0.250001104195,0.750001840318,3.7139725584,-0.2579356775,0.9999999955,1418
186,5.826030026043841651e-6,0.250001092385,0.750001820635,3.7139722896,0.2579356782,0.9999999955,1424
187,5.764051404106483806e-6,0.250001080764,0.750001801267,3.7139720250,-0.2579356790,0.9999999956,1429
188,5.703056560981893772e-6,0.250001069328,0.750001782206,3.7139717647,0.2579356797,0.9999999956,1434
189,5.643024785767885794e-6,0.250001058071,0.750001763446,3.7139715085,-0.2579356805,0.9999999956,1440
190,5.583935909725297949e-6,0.250001046992,0.750001744981,3.7139712563,0.2579356812,0.9999999957,1445
191,5.525770289335658620e-6,0.250001036086,0.750001726804,3.7139710080,-0.2579356819,0.9999999957,1450
192,5.468508789973327086e-6,0.250001025349,0.750001708910,3.7139707636,0.2579356826,0.9999999958,1456
193,5.412132770166780258e-6,0.250001014779,0.750001691292,3.7139705230,-0.2579356833,0.9999999958,1461
194,5.356624066424864465e-6,0.250001004371,0.750001673946,3.7139702860,0.2579356840,0.9999999959,1466
195,5.301964978604956889e-6,0.250000994122,0.750001656865,3.7139700527,-0.2579356846,0.9999999959,1472
196,5.248138255801036681e-6,0.250000984030,0.750001640044,3.7139698230,0.2579356853,0.9999999960,1477
197,5.195127082730648307e-6,0.250000974090,0.750001623478,3.7139695967,-0.2579356859,0.9999999960,1482
198,5.142915066600711259e-6,0.250000964300,0.750001607162,3.7139693739,0.2579356865,0.9999999960,1488
199,5.091486224433017093e-6,0.250000954657,0.750001591090,3.7139691543,-0.2579356872,0.9999999961,1493
200,5.040824970831123795e-6,0.250000945158,0.750001575259,3.7139689381,0.2579356878,0.9999999961,1498
